model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,2,0.526,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,3,0.526,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,4,0.526,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,5,0.526,1,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,1,0.52,3,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,2,0.52,3,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,3,0.52,3,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,4,0.52,3,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,5,0.52,3,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,1,0.516,2,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,2,0.516,2,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,3,0.516,2,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,4,0.516,2,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,5,0.516,2,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,1,0.529,0,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,2,0.529,0,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,3,0.529,0,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,4,0.529,0,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,5,0.529,0,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,1,0.521,9,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,2,0.521,9,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,3,0.521,9,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,4,0.521,9,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,5,0.521,9,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,1,0.52,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,2,0.52,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,3,0.52,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,4,0.52,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,5,0.52,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,1,0.519,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,2,0.519,8,"grace_period=100, max_depth=4, delta=0.001",AAPL
