ensemble_name,model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker,base_models_count
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,0,0.528,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,0,0.528,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,1,0.518,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,1,0.533,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,1,0.523,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,2,0.536,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,2,0.528,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,2,0.524,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,3,0.511,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,3,0.526,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,3,0.523,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.535,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.527,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,selectkbest,500,4,0.522,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.538,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,0,0.524,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.537,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,1,0.517,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.527,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,2,0.53,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.527,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.543,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,3,0.545,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.544,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,adwin,tstat,500,4,0.505,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.528,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.493,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,0,0.528,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.495,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.534,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,1,0.498,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.515,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.512,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,2,0.514,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.525,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.519,1,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,3,0.542,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.524,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.512,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,kswin,tstat,500,4,0.515,1,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.492,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,0,0.512,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.535,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.525,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,1,0.543,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.543,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.534,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,2,0.541,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.52,1,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.5,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,3,0.543,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.537,0,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.52,0,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,pagehinkley,tstat,500,4,0.538,0,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.507,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.518,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,0,0.53,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.514,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.51,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,1,0.523,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.517,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.507,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,2,0.53,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.52,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.523,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,3,0.522,3,{},^SPX,8
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.521,3,{},^SPX,2
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.516,3,{},^SPX,5
hoeffdingtreeclassifier,BaggingClassifier,bollingerband,tstat,500,4,0.524,3,{},^SPX,8
